latitude	longitude	name	parsed
42.1417442	-71.2495096	Walpole	Walpole, MA, USA
42.283333	-71.35	Natick	Natick, MA, USA
42.2070391	-71.6856236	Grafton	Grafton, MA, USA
42.3600825	-71.0588801	Boston	Boston, MA, USA
41.4558899	-70.6141097	Tisbury	Tisbury, MA, USA
42.4072107	-71.3824374		Massachusetts, USA
42.3600825	-71.0588801	[Boston]	Boston, MA, USA
41.647872	-70.4819674	[Mashpee?]	Mashpee, MA, USA
41.647872	-70.4819674	Mashpee	Mashpee, MA, USA
42.8125913	-70.87727509999999	Newpuryport	Newburyport, MA, USA
41.8470056	-71.2393933	Rehoboth	Rehoboth, MA, USA
41.9903519	-70.9750541	Bridgewater	Bridgewater, MA, USA
42.116667	-70.816667	Hanover	Hanover, MA, USA
42.0433661	-71.9276033	Dudley	Dudley, MA, USA
42.4229047	-72.10510020000001	Barre	Barre, MA, USA
41.3744317	-70.47294339999999	Chappaquiddick	Chappaquiddick Island, Edgartown, MA 02539, USA
41.34372279999999	-70.81475230000001	Gayhead	Gay Head, Aquinnah, MA 02535, USA
41.3890052	-70.5133599	Edgartown	Edgartown, MA, USA
42.0334341	-70.9592096	East Bridgewater	East Bridgewater, MA, USA
41.2834704	-70.099451	Nantucket	Nantucket, MA, USA
42.673417	-72.82176179999999	Heath	Heath, MA, USA
42.3517585	-71.8634062	Holden	Holden, MA, USA
42.3484207	-73.01510110000001	Middlefield	Middlefield, MA, USA
42.19207189999999	-71.761522	Millbury	Millbury, MA, USA
42.459188	-72.8913714	Cummington	Cummington, MA, USA
42.3250896	-72.64120129999999	Northampton	Northampton, MA, USA
42.1619739	-71.042551	Randolph	Randolph, MA, USA
42.5437035	-71.6495176	Shirley	Shirley, MA, USA
42.5292597	-71.3495046	Carlisle	Carlisle, MA, USA
42.5256563	-71.0952891	Reading	Reading, MA, USA
42.367	-72.517	Amherst	Amherst, MA, USA
41.900101	-71.0897674	Taunton	Taunton, MA, USA
42.7762015	-71.0772796	Haverhill	Haverhill, MA, USA
42.46676300000001	-70.9494938	Lynn	Lynn, MA, USA
42.627862	-72.86981829999999	Charlemont	Charlemont, MA, USA
42.0834313	-71.396725	Franklin	Franklin, MA, USA
42.3667589	-71.78562699999999	West Boylston	West Boylston, MA, USA
42.3121798	-71.2205981	Newton Upper Falls	Newton Upper Falls, Newton, MA, USA
42.4850931	-71.43284	Acton	Acton, MA, USA
42.3709299	-71.1828321	Watertown	Watertown, MA, USA
42.49995819999999	-70.8578024	Marblehead	Marblehead, MA, USA
42.2959267	-71.71284709999999	Shrewsbury	Shrewsbury, MA, USA
42.5750883	-71.998133	Gardner	Gardner, MA, USA
42.4837752	-72.186669	Petersham	Petersham, MA, USA
41.9932752	-70.7284785	Kingston	Kingston, MA, USA
42.0917453	-70.7055871	Marshfield	Marshfield, MA, USA
42.635545	-71.90973939999999	Ashburnham	Ashburnham, MA, USA
42.245926	-71.90868429999999	Leicester	Leicester, MA, USA
42.7695348	-71.0758905	Bradford	Bradford, Haverhill, MA 01835, USA
42.2436085	-71.1676536	Dedham	Dedham, MA, USA
42.1056525	-71.5522859	Mendon	Mendon, MA, USA
42.195929	-70.7258633	Scituate	Scituate, MA, USA
42.6583356	-71.1367953	Andover	Andover, MA, USA
41.7589615	-70.49393169999999	Sandwich	Sandwich, MA, USA
42.3695086	-71.9481211	Rutland	Rutland, MA, USA
41.7014912	-71.1550451	Fall River	Fall River, MA, USA
41.6376043	-70.90364869999999	Fair Haven	Fairhaven, MA, USA
42.6334247	-71.31617179999999	Lowell	Lowell, MA, USA
42.1048228	-70.9453218	Abington	Abington, MA, USA
42.20009659999999	-71.4245049	Holliston	Holliston, MA, USA
42.266757	-72.66897999999999	Easthampton	Easthampton, MA, USA
