DOI	Local ID
doi:10.7910/DVN/FJXIS	http://nrs.harvard.edu/urn-3:FHCL:12208669|Supportforindividuals|Walpole|GeorgeMorey,BenjaminKingsburyJr.,GeorgePayson
doi:10.7910/DVN/NBPWN	http://nrs.harvard.edu/urn-3:FHCL:13448014|Property|Natick|WilliamBoden
doi:10.7910/DVN/ENNRB	http://nrs.harvard.edu/urn-3:FHCL:13481282|Property|Natick|AsaDrury
doi:10.7910/DVN/VJNBZ	http://nrs.harvard.edu/urn-3:FHCL:12208670|Property|Boston|JohnCodmanJr.
doi:10.7910/DVN/RREOY	http://nrs.harvard.edu/urn-3:FHCL:13448018|Property|Grafton|JosephAaron
doi:10.7910/DVN/2OBMN	http://nrs.harvard.edu/urn-3:FHCL:13448017|Property|Grafton|JosephAaron
doi:10.7910/DVN/KX6Z2	http://nrs.harvard.edu/urn-3:FHCL:12208671|Property|Grafton|FortuneBurnee
doi:10.7910/DVN/XFFLL	http://nrs.harvard.edu/urn-3:FHCL:12208672|Supportforindividuals|Notavailable|Belinda
doi:10.7910/DVN/5Z0HQ	http://nrs.harvard.edu/urn-3:FHCL:12176678|Abolitionoftheslavetrade|[Boston]|PrinceHall,PrimusHall,JohnKing,BostonBallard,[John
doi:10.7910/DVN/PMLPK	http://nrs.harvard.edu/urn-3:FHCL:12208690|Indianguardians|[Mashpee?]|NathanielFish,SimeonFish,BarzillaiWeeks,JamesColma
doi:10.7910/DVN/1TDP7	http://nrs.harvard.edu/urn-3:FHCL:12231218|Indianguardians|Mashpee|GideonHawley
doi:10.7910/DVN/B9HH2	http://nrs.harvard.edu/urn-3:FHCL:12208691|Indianguardians|Boston|GideonHawley
doi:10.7910/DVN/8GRK8	http://nrs.harvard.edu/urn-3:FHCL:12231219|Indianguardians|Mashpee|ThomasMogrego,ThomasHatch,JubaSevers,JamesLewis,Le
doi:10.7910/DVN/R8G2J	http://nrs.harvard.edu/urn-3:FHCL:12231220|Indianguardians|Mashpee|JosephAmos,SamuelRobens,JohnFrancis,MordicaJobe,Ja
doi:10.7910/DVN/RPQ5O	http://nrs.harvard.edu/urn-3:FHCL:12231221|Indianguardians|Mashpee|GideonHawley
doi:10.7910/DVN/IPEXN	http://nrs.harvard.edu/urn-3:FHCL:12231222|Indianguardians|Mashpee|[AsahamMing?],JeremiahBadcock,JamesLewis,AntoneyHe
doi:10.7910/DVN/EMW91	http://nrs.harvard.edu/urn-3:FHCL:12208673|Supportforindividuals|Newpuryport|MicajahSawyer
doi:10.7910/DVN/NJUBS	http://nrs.harvard.edu/urn-3:FHCL:12208674|Supportforindividuals|[Marlborough]|SimonStow
doi:10.7910/DVN/0FUZS	http://nrs.harvard.edu/urn-3:FHCL:12208692|Indianguardians|[Mashpee?]|WalterSpooner,ShearjashubBourne
doi:10.7910/DVN/7IIDN	http://nrs.harvard.edu/urn-3:FHCL:13448019|Property|Grafton|JosephAaron
doi:10.7910/DVN/UER5X	http://nrs.harvard.edu/urn-3:FHCL:12208675|Militaryservice|Boston|EzraBeaman
doi:10.7910/DVN/U0R07	http://nrs.harvard.edu/urn-3:FHCL:12208676|Supportforindividuals|[Boston?]|Daphne
doi:10.7910/DVN/V3QZD	http://nrs.harvard.edu/urn-3:FHCL:12208677|Militaryservice|Rehoboth|EliphaletSlack
doi:10.7910/DVN/LK9GX	http://nrs.harvard.edu/urn-3:FHCL:12208678|Supportforindividuals|Bridgewater|EdwardHoward
doi:10.7910/DVN/J74YS	http://nrs.harvard.edu/urn-3:FHCL:13448020|Property|Grafton|JosephBruce,SimonBruce
doi:10.7910/DVN/EED8X	http://nrs.harvard.edu/urn-3:FHCL:12208679|Militaryservice|Hanover|JosephSoper,JosephRamsdell,NathanielSylvester
doi:10.7910/DVN/JJBDZ	http://nrs.harvard.edu/urn-3:FHCL:12208680|Indianguardians|Mashpee|MosesPocknet,EbenezerQuippish,HoseaRichard,William
doi:10.7910/DVN/OQFOF	http://nrs.harvard.edu/urn-3:FHCL:12208681|Property|Grafton|BenjaminHeywood,EdwardRawson,IsaacHarrington
doi:10.7910/DVN/Z1IL4	http://nrs.harvard.edu/urn-3:FHCL:13448021|Property|Grafton|JosephAaron
doi:10.7910/DVN/NNTMO	http://nrs.harvard.edu/urn-3:FHCL:12231223|Indianguardians|Mashpee|GideonHawley
doi:10.7910/DVN/DAKYG	http://nrs.harvard.edu/urn-3:FHCL:12208694|Supportforindividuals|Mashpee|WalterSpooner
doi:10.7910/DVN/XAACZ	http://nrs.harvard.edu/urn-3:FHCL:13448022|Property|Grafton|JosephAaron
doi:10.7910/DVN/SURZD	http://nrs.harvard.edu/urn-3:FHCL:13481283|Property|Dudley|LemuelCorbin,JohnHealy,MarkDodge,LeviDavis
doi:10.7910/DVN/QNGGF	http://nrs.harvard.edu/urn-3:FHCL:12208682|Supportforindividuals|Notavailable|JamesScott,GeorgeWilliamErving
doi:10.7910/DVN/RZVEL	http://nrs.harvard.edu/urn-3:FHCL:12208683|Property|[Grafton?]|CaesarGimbee,MosesGimbee
doi:10.7910/DVN/NBNXW	http://nrs.harvard.edu/urn-3:FHCL:12208684|Property|[Tisbury?]|JamesAthearn
doi:10.7910/DVN/E7QZK	http://nrs.harvard.edu/urn-3:FHCL:13448101|Property|Tisbury|SolomonWeeks,JudyGarshom,SolomonJeffery,LoveJeffer
doi:10.7910/DVN/UMVIO	http://nrs.harvard.edu/urn-3:FHCL:12208685|Property|Natick|HannahChore
doi:10.7910/DVN/HDTBH	http://nrs.harvard.edu/urn-3:FHCL:12231225|Indianguardians|[Plymouth,Sandwich?]|BarsaJeshel,LucyCarter,HileyHall,JerushaMoses,Matt
doi:10.7910/DVN/6A7MG	http://nrs.harvard.edu/urn-3:FHCL:12208686|Property|Barre|SamuelJones
doi:10.7910/DVN/THP42	http://nrs.harvard.edu/urn-3:FHCL:12208696|Indianguardians|Chappaquiddick|ThaddeusCook,JaenSandrs,SamuelPeters,JesseWeepquis
doi:10.7910/DVN/KAQSR	http://nrs.harvard.edu/urn-3:FHCL:12231226|Indianguardians|Chappaquiddick|IsaiahJohnson,AsaJohnson,GeorgeJohnsonJr.,BetsyJoh
doi:10.7910/DVN/DUISQ	http://nrs.harvard.edu/urn-3:FHCL:12208697|Indianguardians|Gayhead|ZachariahHowwoswee,SarahHowwoswee,MargaretDavid,Si
doi:10.7910/DVN/2DIWH	http://nrs.harvard.edu/urn-3:FHCL:12208687|Supportforindividuals|Rehoboth|JohnHaskins
doi:10.7910/DVN/UVLNE	http://nrs.harvard.edu/urn-3:FHCL:12208688|Supportforindividuals|[Cambridge?]|CubyVassall
doi:10.7910/DVN/QHEL3	http://nrs.harvard.edu/urn-3:FHCL:13448024|Property|[Grafton?]|ElizabethWhipple
doi:10.7910/DVN/08MXL	http://nrs.harvard.edu/urn-3:FHCL:13481284|Property|[Grafton?]|ThaddeusWhipple
doi:10.7910/DVN/BULW7	http://nrs.harvard.edu/urn-3:FHCL:13481285|Property|Grafton|ElijahBrooks,PerleyGoddard,JosephusWillard
